rownum,material_id,metal_core,coating,type_of_coating,aging,diameter,shape_group,geometric_surface_area,corresponding_sphere_diameter,atomic_radius,ionic_radius,xox,x,number_of_metal,number_of_oxygen,sum_of_x,sum_of_x_over_o,molecular_weight,group,period,absolute_electronegativity,energy_band_gap,zeta_potential
1,1,Ag,4% (w/v) each of polyoxyethylene glycerol trioleate and polyoxyethylene (20) sorbitan monolaurate (Tween 20),neutral,Pristine,19.0,Spherical,1134.114948,19.0,144,115,0,1.93,1,0,1.93,1.93,107.8682,11,5,4.44,1.46,-1.21
2,2,Ag2S,sulfate & PVP capped,neutral,Pristine,36.0,Agglomerated,4069.44,36.0,144,115,1,1.93,2,0,3.86,3.86,247.8,11,5,5.36,1.2,-50.5
3,3,Ag,Tannic acid / sodium citrate,anionic,Pristine,47.3,spherical,7025.0906,47.3,144,115,0,1.93,1,0,1.93,1.93,107.8682,11,5,5.36,1.46,-57.9
4,4,CeO2,HMTA,neutral,Pristine,30.8,Faceted,5691.84,42.56487921,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.2,5.7
5,5,CeO2,PEG 1500,neutral,Pristine,4.5,Spherical,63.61725124,4.5,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.2,0.024
6,6,CeO2,Ethylenediamine,neutral,Pristine,3.0,Spherical,28.27433388,3.0,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.2,-8.32
7,7,CeO2,Ethylenediamine,neutral,Pristine,83.0,Nanorods,21642.43179,83.0,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.2,-3.0
8,8,CeO2,uncoated,uncoated,Pristine,8.2,Spherical,211.24069,8.2,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.2,3.14
9,9,CeO2,PVP 10k,neutral,Pristine,7.625,Spherical,182.6541604,7.625,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.2,0.43
10,10,CeO2,PVP 40k,neutral,Pristine,8.992,Spherical,254.0168167,8.992,182,102,4,1.12,1,2,1.12,0.56,172.115,3,6,5.65,3.2,0.62
